ngvsID,RA,DEC,U_MAG_APCOR1,G_MAG_APCOR1,R_MAG_APCOR1,I_MAG_APCOR1,Z_MAG_APCOR1,U_MAG_APCOR2,G_MAG_APCOR2,R_MAG_APCOR2,I_MAG_APCOR2,Z_MAG_APCOR2,U_MAG_APCOR3,G_MAG_APCOR3,R_MAG_APCOR3,I_MAG_APCOR3,Z_MAG_APCOR3,U_MAG_APCOR4,G_MAG_APCOR4,R_MAG_APCOR4,I_MAG_APCOR4,Z_MAG_APCOR4,U_MAG_APCOR5,G_MAG_APCOR5,R_MAG_APCOR5,I_MAG_APCOR5,Z_MAG_APCOR5,U_MAG_APCOR6,G_MAG_APCOR6,R_MAG_APCOR6,I_MAG_APCOR6,Z_MAG_APCOR6,U_MAG_APCOR7,G_MAG_APCOR7,R_MAG_APCOR7,I_MAG_APCOR7,Z_MAG_APCOR7,U_MAGERR_APER1,G_MAGERR_APER1,R_MAGERR_APER1,I_MAGERR_APER1,Z_MAGERR_APER1,U_MAGERR_APER2,G_MAGERR_APER2,R_MAGERR_APER2,I_MAGERR_APER2,Z_MAGERR_APER2,U_MAGERR_APER3,G_MAGERR_APER3,R_MAGERR_APER3,I_MAGERR_APER3,Z_MAGERR_APER3,U_MAGERR_APER4,G_MAGERR_APER4,R_MAGERR_APER4,I_MAGERR_APER4,Z_MAGERR_APER4,U_MAGERR_APER5,G_MAGERR_APER5,R_MAGERR_APER5,I_MAGERR_APER5,Z_MAGERR_APER5,U_MAGERR_APER6,G_MAGERR_APER6,R_MAGERR_APER6,I_MAGERR_APER6,Z_MAGERR_APER6,U_MAGERR_APER7,G_MAGERR_APER7,R_MAGERR_APER7,I_MAGERR_APER7,Z_MAGERR_APER7,U_MAGERR_APER8,G_MAGERR_APER8,R_MAGERR_APER8,I_MAGERR_APER8,Z_MAGERR_APER8,U_FLUX_RADIUS,G_FLUX_RADIUS,R_FLUX_RADIUS,I_FLUX_RADIUS,Z_FLUX_RADIUS,U_FLAGS,G_FLAGS,R_FLAGS,I_FLAGS,Z_FLAGS,U_CLASS_STAR,G_CLASS_STAR,R_CLASS_STAR,I_CLASS_STAR,Z_CLASS_STAR,U_KRON_RADIUS,G_KRON_RADIUS,R_KRON_RADIUS,I_KRON_RADIUS,Z_KRON_RADIUS,U_PETRO_RADIUS,G_PETRO_RADIUS,R_PETRO_RADIUS,I_PETRO_RADIUS,Z_PETRO_RADIUS
NGVS-J124445.33+111438.2,191.1888781,11.2439535,26.4912,26.4714,99.0,26.3946,99.0,26.5099,26.4026,99.0,26.5307,99.0,26.3644,26.3659,99.0,26.5865,99.0,26.3363,26.4484,99.0,26.6622,99.0,26.424,26.545,99.0,26.5298,99.0,26.4965,26.6308,99.0,26.4708,99.0,26.0758,26.3148,27.4455,26.2665,99.0,0.3073,0.1599,0.9663,0.4261,0.3693,0.2594,0.1361,0.5606,0.4542,0.4053,0.2083,0.1303,0.3925,0.4921,0.4927,0.1949,0.1458,0.369,0.5615,0.5768,0.2109,0.1698,0.3922,0.5394,0.5793,0.229,0.1977,0.425,0.5564,0.5794,0.2292,0.2602,2.0053,0.8194,99.0,0.353,0.6009,99.0,99.0,0.6467,2.069,1.717,2.291,1.279,0.885,0,0,0,0,0,0.35,0.35,0.35,0.03,0.04,5.72,5.72,5.72,5.72,5.72,6.6,6.6,6.6,6.6,6.6
NGVS-J124445.33+111454.3,191.1888952,11.2484203,26.6472,26.5101,99.0,26.1415,25.7076,26.6297,26.4379,99.0,26.2214,25.2963,26.6651,26.3289,99.0,26.2178,25.1798,26.7255,26.2339,99.0,26.1334,24.9901,26.8102,26.2364,99.0,26.118,24.8837,26.9851,26.2332,99.0,26.1131,24.8061,26.9859,26.3267,25.9186,25.6123,24.6985,0.3534,0.1651,99.0,0.3366,0.6794,0.2904,0.1409,1.7206,0.3427,0.4097,0.274,0.1258,1.0447,0.3501,0.3536,0.2785,0.1199,0.5418,0.3453,0.3008,0.3006,0.128,0.3803,0.3692,0.2838,0.359,0.1374,0.3193,0.4005,0.2789,0.5293,0.2629,0.4913,0.4483,0.4127,99.0,0.3175,0.6923,99.0,0.8425,1.677,2.295,3.559,2.409,2.727,0,0,0,0,0,0.35,0.35,0.04,0.08,0.0,6.21,6.21,6.21,6.21,6.21,6.6,6.6,6.6,6.6,6.6
NGVS-J124445.34+111238.3,191.1889029,11.210645,99.0,26.607,99.0,25.1466,99.0,99.0,26.5967,99.0,25.1275,99.0,99.0,26.554,99.0,25.1387,99.0,99.0,26.489,99.0,25.2248,99.0,99.0,26.4573,99.0,25.2788,99.0,99.0,26.4,99.0,25.3304,99.0,99.0,26.2848,26.0879,26.3517,99.0,0.4881,0.1799,0.2406,0.1355,0.4739,0.548,0.1629,0.1946,0.1259,0.3589,0.5633,0.1545,0.1782,0.1303,0.3231,0.9717,0.1514,0.1787,0.15,0.373,8.3219,0.1566,0.1754,0.1706,0.4791,99.0,0.1601,0.1831,0.195,0.4946,99.0,0.2533,0.5749,0.886,99.0,99.0,0.391,1.6719,0.4899,99.0,-3.724,2.256,2.018,1.639,0.389,0,0,0,0,0,0.35,0.35,0.02,0.01,0.06,0.0,7.09,7.09,7.09,7.09,0.0,9.24,9.24,9.24,0.0
NGVS-J124445.35+111228.8,191.188963,11.2079934,25.0871,24.5858,99.0,23.7077,23.438,25.0897,24.5284,99.0,23.6631,23.4135,25.1075,24.5341,99.0,23.6612,23.4451,25.1073,24.4912,99.0,23.6256,23.3922,25.1029,24.4449,99.0,23.586,23.3762,25.0833,24.4016,99.0,23.5406,23.3738,25.3018,24.3986,23.9478,23.5748,23.7157,0.0862,0.0294,0.0631,0.037,0.0846,0.0724,0.0254,0.0557,0.0336,0.0731,0.0665,0.0248,0.053,0.0339,0.0716,0.0643,0.0249,0.0516,0.0351,0.0696,0.0635,0.0252,0.0525,0.0364,0.071,0.0635,0.026,0.0538,0.038,0.0748,0.1131,0.0449,0.0803,0.069,0.1672,0.299,0.0748,0.1091,0.1222,0.3586,2.559,2.054,2.449,1.947,1.902,0,0,0,0,0,0.31,0.7,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,5.28,5.28,5.28,5.28,5.28
NGVS-J124445.37+111360.0,191.1890471,11.2333227,26.2844,26.3463,99.0,25.4655,25.9243,26.3472,26.3499,99.0,25.4608,25.5503,26.3416,26.2877,99.0,25.4544,25.3726,26.2359,26.2509,99.0,25.4547,25.143,26.2324,26.2171,99.0,25.4738,24.9896,26.3645,26.1573,99.0,25.6214,25.0105,27.0273,26.0571,27.041,26.5673,25.71,0.256,0.1431,0.4481,0.1825,0.8336,0.2236,0.1293,0.4562,0.1697,0.514,0.2046,0.1214,0.3946,0.1741,0.4224,0.178,0.1215,0.3509,0.1848,0.3451,0.1776,0.1259,0.3159,0.2044,0.3127,0.2034,0.1281,0.2888,0.2546,0.3359,0.5506,0.2052,1.3805,1.0798,1.0461,0.7456,0.4041,99.0,0.388,0.7924,2.23,2.297,2.477,1.377,2.171,0,0,0,0,0,0.35,0.35,0.03,0.06,0.04,5.18,5.18,5.18,5.18,5.18,6.6,6.6,6.6,6.6,6.6
NGVS-J124445.37+111407.2,191.1890436,11.2353351,25.9606,25.9373,99.0,25.1464,24.1707,25.9345,25.7423,99.0,24.9322,24.2086,25.8942,25.6315,99.0,24.7879,24.2808,25.818,25.5176,99.0,24.6881,24.3297,25.7836,25.4225,99.0,24.6278,24.4078,25.78,25.3468,99.0,24.56,24.3882,25.7139,25.2375,26.1299,25.0391,24.1762,0.1896,0.0982,0.2177,0.1356,0.1655,0.1548,0.0751,0.1682,0.1057,0.1511,0.1364,0.067,0.1512,0.0949,0.1551,0.1222,0.0626,0.1416,0.0921,0.1641,0.1181,0.0611,0.1431,0.0944,0.1834,0.1196,0.0613,0.1563,0.0965,0.1901,0.1613,0.0947,0.5844,0.2593,0.2497,0.2586,0.2239,99.0,0.3779,0.3179,2.844,2.545,1.999,2.246,1.96,3,3,3,3,3,0.35,0.44,0.01,0.0,0.0,3.5,3.5,3.5,3.5,3.5,7.26,7.26,0.0,7.26,7.26
NGVS-J124445.38+110908.2,191.1890997,11.1522801,27.7661,26.4032,99.0,25.1579,25.4659,27.8611,26.5571,99.0,25.2227,25.2259,27.9442,26.6274,99.0,25.32,25.1326,27.7047,26.6445,99.0,25.4087,25.2044,27.5979,26.6885,99.0,25.4346,25.2371,27.737,26.7327,99.0,25.384,25.3227,29.0263,26.7932,99.0,26.6242,24.5258,0.9761,0.1494,0.3213,0.137,0.5445,0.886,0.1555,0.2766,0.1362,0.382,0.8788,0.1645,0.2406,0.1533,0.3382,0.6796,0.1739,0.2135,0.1771,0.3655,0.6183,0.1939,0.2323,0.1974,0.3936,0.7128,0.2169,0.2778,0.2045,0.4476,3.4552,0.4045,99.0,1.1391,0.352,0.3944,0.6684,99.0,0.503,0.5694,2.501,1.44,2.124,1.465,1.793,0,0,0,0,0,0.34,0.35,0.08,0.06,0.15,6.13,6.13,6.13,6.13,6.13,7.26,7.26,7.26,7.26,7.26
NGVS-J124445.38+110951.8,191.1890949,11.1643912,25.0952,24.998,99.0,24.0603,23.6946,25.0887,24.9141,99.0,23.913,23.6062,25.0532,24.8682,99.0,23.8208,23.5326,25.0339,24.839,99.0,23.769,23.5127,25.044,24.8212,99.0,23.7212,23.5129,25.0622,24.8085,99.0,23.7012,23.5335,25.4053,24.7663,24.4895,23.691,23.5639,0.0869,0.0423,0.0847,0.0509,0.1075,0.0719,0.0355,0.0692,0.0418,0.0869,0.0637,0.0336,0.0653,0.0394,0.0783,0.0599,0.0338,0.0657,0.0398,0.0775,0.0603,0.0353,0.0694,0.0412,0.0807,0.0621,0.0375,0.0745,0.0439,0.0866,0.124,0.0628,0.132,0.0767,0.1453,0.4125,0.1409,100.2471,0.1787,0.8814,2.393,2.048,2.156,2.105,2.08,0,0,0,0,0,0.36,0.47,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,5.28,5.28,5.28,5.28,5.28
NGVS-J124445.38+111211.9,191.1890925,11.2033051,25.7937,25.647,99.0,26.186,25.2278,25.8694,25.6026,99.0,25.9259,25.3046,25.8932,25.6013,99.0,25.7126,25.2951,25.824,25.5818,99.0,25.6739,25.0755,25.8509,25.543,99.0,25.703,24.8651,25.9207,25.5128,99.0,25.7131,24.7783,26.1359,25.4038,25.1386,25.4079,26.026,0.1615,0.0749,0.4478,0.3482,0.4347,0.1457,0.0661,0.307,0.2622,0.4147,0.1349,0.0645,0.2296,0.2192,0.3915,0.1222,0.0661,0.1991,0.2264,0.3252,0.1246,0.0677,0.203,0.2514,0.278,0.1356,0.0712,0.2098,0.2776,0.2719,0.2424,0.1127,0.2399,0.372,1.4012,0.5549,0.2399,0.4598,0.909,99.0,2.469,2.233,3.093,2.583,0.67,0,0,0,0,0,0.35,0.2,0.03,0.08,0.0,4.78,4.78,4.78,4.78,4.78,7.26,7.26,7.26,7.26,0.0
NGVS-J124445.38+111408.8,191.1890913,11.2357741,26.577,26.0618,99.0,25.6862,25.1221,26.704,26.0491,99.0,25.7397,24.878,26.5651,26.0162,99.0,25.8065,24.9805,26.4887,26.0222,99.0,25.9081,25.1182,26.4588,26.1093,99.0,26.0068,25.1678,26.491,26.1329,99.0,25.9873,25.1884,27.1707,26.4968,99.0,27.6051,24.9015,0.3313,0.1098,0.2909,0.2218,0.3958,0.3114,0.0992,0.2423,0.2208,0.2791,0.2499,0.0946,0.2546,0.2398,0.2936,0.2251,0.0992,0.2874,0.2817,0.339,0.2181,0.1141,0.3552,0.3336,0.3681,0.2287,0.1257,0.4485,0.3575,0.3966,0.6288,0.3082,99.0,2.8146,0.4977,2.3059,99.0,99.0,99.0,0.5943,2.452,1.758,1.284,1.278,1.758,0,0,0,0,0,0.35,0.35,0.07,0.07,0.0,4.24,4.24,4.24,4.24,4.24,5.94,5.94,5.94,5.94,5.94
